Author,Cited references in TS-J,Citing documents,% of TS-J documents
"Hutcheon, Linda",72,68,0.477
"Cattrysse, Patrick",31,26,0.182
"Stam, Robert",25,20,0.14
"Sanders, Julie",17,15,0.105
"Leitch, Thomas",12,11,0.077
"Elliott, Kamilla",9,6,0.042
"Murray, Simone",8,8,0.056
"Andrew, Dudley",7,6,0.042
"Corrigan, Timothy",7,6,0.042
"Bruhn, Jorgen",5,3,0.021
"McFarlane, Brian",4,4,0.028
"Cohen, Keith",3,3,0.021
"Naremore, James",2,2,0.014
"Aragay, Mireia",2,2,0.014
"Whelehan, Imelda",2,2,0.014
"Bluestone, George",1,1,0.007
"Cardwell, Sarah",1,1,0.007
"Hermansson, Casie",1,1,0.007
"Boozer, Jack",1,1,0.007
"Geraghty, Christine",0,0,0.0
