Author,Cited references in AS-J,Citing documents,% of AS-J documents
"Venuti, Lawrence",29,21,0.76
"Jakobson, Roman",18,17,0.615
"Lefevere, Andre",15,13,0.471
"Toury, Gideon",11,10,0.362
"Bassnett, Susan",9,8,0.29
"Steiner, George",8,8,0.29
"Chesterman, Andrew",7,5,0.181
"Hermans, Theo",7,5,0.181
"Tymoczko, Maria",7,4,0.145
"Gambier, Yves",6,5,0.181
"Nida, Eugene",4,3,0.109
"Baker, Mona",4,4,0.145
"Gentzler, Edwin",4,4,0.145
"Pym, Anthony",3,3,0.109
"Delabastita, Dirk",3,3,0.109
"Snell-Hornby, Mary",2,2,0.072
"Munday, Jeremy",2,2,0.072
"Vinay, Jean-Paul",2,2,0.072
"Holmes, James",1,1,0.036
"Vermeer, Hans",1,1,0.036
"Reiss, Katharina",1,1,0.036
"Catford, John",1,1,0.036
"van Doorslaer, Luc",0,0,0.0
