Author,Group,Cited references in TS-J,Citing documents
"Toury, Gideon",core,1351,1117
"Venuti, Lawrence",core,1678,1271
"Baker, Mona",core,1813,1214
"Chesterman, Andrew",core,1064,807
"Pym, Anthony",core,1675,1212
"Holmes, James",core,263,245
"Snell-Hornby, Mary",core,412,349
"Tymoczko, Maria",frontier,700,521
"Marais, Kobus",frontier,226,127
"Blumczynski, Piotr",frontier,102,79
"Gentzler, Edwin",frontier,348,304
"Robinson, Douglas",frontier,478,365
"Bennett, Karen",frontier,96,67
"Zwischenberger, Cornelia",frontier,116,90
"Bassnett, Susan",ambiguous,818,643
