series,year,documents,with_term,rate_pct
TS-J fidelity/faithfulness,1978,43,0,0.0
TS-J fidelity/faithfulness,1980,19,0,0.0
TS-J fidelity/faithfulness,1982,44,0,0.0
TS-J fidelity/faithfulness,1983,34,0,0.0
TS-J fidelity/faithfulness,1984,45,0,0.0
TS-J fidelity/faithfulness,1985,23,0,0.0
TS-J fidelity/faithfulness,1986,22,0,0.0
TS-J fidelity/faithfulness,1987,15,0,0.0
TS-J fidelity/faithfulness,1988,26,0,0.0
TS-J fidelity/faithfulness,1989,23,1,4.35
TS-J fidelity/faithfulness,1990,25,0,0.0
TS-J fidelity/faithfulness,1991,22,0,0.0
TS-J fidelity/faithfulness,1992,143,1,0.7
TS-J fidelity/faithfulness,1993,139,3,2.16
TS-J fidelity/faithfulness,1994,130,1,0.77
TS-J fidelity/faithfulness,1995,114,1,0.88
TS-J fidelity/faithfulness,1996,98,0,0.0
TS-J fidelity/faithfulness,1997,100,0,0.0
TS-J fidelity/faithfulness,1998,120,1,0.83
TS-J fidelity/faithfulness,1999,89,1,1.12
TS-J fidelity/faithfulness,2000,129,0,0.0
TS-J fidelity/faithfulness,2001,106,1,0.94
TS-J fidelity/faithfulness,2002,88,2,2.27
TS-J fidelity/faithfulness,2003,98,0,0.0
TS-J fidelity/faithfulness,2004,149,2,1.34
TS-J fidelity/faithfulness,2005,286,4,1.4
TS-J fidelity/faithfulness,2006,239,3,1.26
TS-J fidelity/faithfulness,2007,322,6,1.86
TS-J fidelity/faithfulness,2008,392,9,2.3
TS-J fidelity/faithfulness,2009,503,8,1.59
TS-J fidelity/faithfulness,2010,508,5,0.98
TS-J fidelity/faithfulness,2011,626,5,0.8
TS-J fidelity/faithfulness,2012,548,7,1.28
TS-J fidelity/faithfulness,2013,486,3,0.62
TS-J fidelity/faithfulness,2014,598,6,1.0
TS-J fidelity/faithfulness,2015,664,2,0.3
TS-J fidelity/faithfulness,2016,618,5,0.81
TS-J fidelity/faithfulness,2017,632,8,1.27
TS-J fidelity/faithfulness,2018,717,10,1.39
TS-J fidelity/faithfulness,2019,694,9,1.3
TS-J fidelity/faithfulness,2020,663,8,1.21
TS-J fidelity/faithfulness,2021,685,12,1.75
TS-J fidelity/faithfulness,2022,678,6,0.88
TS-J fidelity/faithfulness,2023,756,16,2.12
TS-J fidelity/faithfulness,2024,714,6,0.84
TS-J fidelity/faithfulness,2025,703,13,1.85
TS-J fidelity/faithfulness — PEAK,2008,,,1.92
AS-J fidelity/faithfulness,1975,55,1,1.82
AS-J fidelity/faithfulness,1976,53,0,0.0
AS-J fidelity/faithfulness,1977,50,0,0.0
AS-J fidelity/faithfulness,1978,47,0,0.0
AS-J fidelity/faithfulness,1979,40,0,0.0
AS-J fidelity/faithfulness,1980,33,0,0.0
AS-J fidelity/faithfulness,1981,39,0,0.0
AS-J fidelity/faithfulness,1982,38,0,0.0
AS-J fidelity/faithfulness,1983,39,0,0.0
AS-J fidelity/faithfulness,1984,40,0,0.0
AS-J fidelity/faithfulness,1985,38,0,0.0
AS-J fidelity/faithfulness,1986,37,0,0.0
AS-J fidelity/faithfulness,1987,38,0,0.0
AS-J fidelity/faithfulness,1988,43,0,0.0
AS-J fidelity/faithfulness,1989,42,0,0.0
AS-J fidelity/faithfulness,1990,38,0,0.0
AS-J fidelity/faithfulness,1991,41,1,2.44
AS-J fidelity/faithfulness,1992,44,0,0.0
AS-J fidelity/faithfulness,1993,39,0,0.0
AS-J fidelity/faithfulness,1994,41,0,0.0
AS-J fidelity/faithfulness,1995,55,0,0.0
AS-J fidelity/faithfulness,1996,65,0,0.0
AS-J fidelity/faithfulness,1997,49,0,0.0
AS-J fidelity/faithfulness,1998,50,0,0.0
AS-J fidelity/faithfulness,1999,48,0,0.0
AS-J fidelity/faithfulness,2000,54,0,0.0
AS-J fidelity/faithfulness,2001,42,1,2.38
AS-J fidelity/faithfulness,2002,46,0,0.0
AS-J fidelity/faithfulness,2003,49,2,4.08
AS-J fidelity/faithfulness,2004,49,0,0.0
AS-J fidelity/faithfulness,2005,41,0,0.0
AS-J fidelity/faithfulness,2006,44,0,0.0
AS-J fidelity/faithfulness,2007,54,1,1.85
AS-J fidelity/faithfulness,2008,62,1,1.61
AS-J fidelity/faithfulness,2009,87,3,3.45
AS-J fidelity/faithfulness,2010,73,4,5.48
AS-J fidelity/faithfulness,2011,96,4,4.17
AS-J fidelity/faithfulness,2012,91,4,4.4
AS-J fidelity/faithfulness,2013,91,8,8.79
AS-J fidelity/faithfulness,2014,99,5,5.05
AS-J fidelity/faithfulness,2015,78,5,6.41
AS-J fidelity/faithfulness,2016,79,3,3.8
AS-J fidelity/faithfulness,2017,50,3,6.0
AS-J fidelity/faithfulness,2018,53,5,9.43
AS-J fidelity/faithfulness,2019,40,0,0.0
AS-J fidelity/faithfulness,2020,56,6,10.71
AS-J fidelity/faithfulness,2021,57,5,8.77
AS-J fidelity/faithfulness,2022,56,3,5.36
AS-J fidelity/faithfulness,2023,58,4,6.9
AS-J fidelity/faithfulness,2024,53,2,3.77
AS-J fidelity/faithfulness,2025,52,3,5.77
AS-J fidelity/faithfulness — PEAK,2021,,,8.28
"fidelity lag (years, AS peak minus TS peak)",13,,,
