theme,callon_centrality,density,quadrant,top_keywords
"translation, language, english",10.414,1.99,Basic/Transversal,translation; language; english; corpus; culture; terminology; chinese; explicitation
"audiovisual translation, subtitling, dubbing",8.545,3.406,Motor,audiovisual translation; subtitling; dubbing; audio description; reception; multimodality; censorship; multilingualism
"simultaneous interpreting, quality, performance",12.162,3.918,Motor,simultaneous interpreting; quality; performance; translation process; cognitive load; impact; memory; consecutive interpreting
"literary translation, translation studies, adaptation",2.924,3.118,Emerging/Declining,literary translation; translation studies; adaptation; translation history; translation theory; sociology of translation; equivalence; history of translation
"translator training, translation competence, competence",6.983,2.597,Basic/Transversal,translator training; translation competence; competence; interpreters; translator education; translators; education; skills
"ideology, retranslation, discourse",4.123,1.84,Emerging/Declining,ideology; retranslation; discourse; news translation; gender; identity; agency; paratext
"interpreting, ethics, interpreter training",5.318,1.745,Basic/Transversal,interpreting; ethics; interpreter training; communication; community interpreting; translator; conference interpreting; migration
"machine translation, post-editing, translation technology",3.565,3.941,Niche,machine translation; post-editing; translation technology; technology; translation quality; localization; transcreation; neural machine translation
"legal translation, institutional translation, translation policy",0.806,4.487,Niche,legal translation; institutional translation; translation policy; law; language policy
"domestication, foreignization, cultural references",0.575,11.006,Niche,domestication; foreignization; cultural references
